top - 22:25:01 up 1 day, 10 min,  2 users,  load average: 0.37, 0.40, 0.42
Tasks: 465 total,   1 running, 436 sleeping,  28 stopped,   0 zombie
%Cpu(s):  8.7 us,  2.9 sy,  0.0 ni, 85.5 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    174.3 free,   6884.8 used,    820.1 buff/cache
MiB Swap:   2048.0 total,    545.7 free,   1502.3 used.    494.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  54306 sahiti    20   0 1148620  76328  31644 S  12.5   0.9   0:11.96 nautilus
     11 root      20   0       0      0      0 I   6.2   0.0   0:35.42 rcu_sch+
   1237 root      20   0 1239828  36248   7840 S   6.2   0.4   2:41.16 teamvie+
   9902 karthik   20   0 4279004 437468  89960 S   6.2   5.4  25:43.38 firefox
  10254 karthik   20   0 3184524 392204  87724 S   6.2   4.9  12:51.59 Web Con+
  28819 karthik   20   0 1726480 183388  29852 S   6.2   2.3   2:49.71 soffice+
  52773 root      20   0  234676  55908  29360 S   6.2   0.7   1:17.84 Xorg
  53105 sahiti    20   0 4600464 338420  64016 S   6.2   4.2   0:33.89 gnome-s+
  55173 sahiti    20   0  942036 233896  11532 S   6.2   2.9   2:15.82 TeamVie+
  56360 sahiti    20   0   12100   4188   3208 R   6.2   0.1   0:00.02 top
      1 root      20   0  169308  10516   6208 S   0.0   0.1   0:06.04 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.85 ksoftir+
     12 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migrati+
     13 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.26 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.65 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.27 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.62 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.28 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.59 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kauditd
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.06 khungta+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompac+
     42 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     43 root      39  19       0      0      0 S   0.0   0.0   0:00.26 khugepa+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    144 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    147 root      20   0       0      0      0 S   0.0   0.0   0:11.40 kswapd0
    148 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    152 root     -51   0       0      0      0 S   0.0   0.0   0:00.01 irq/27-+
    153 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    241 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    242 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    243 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    245 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    246 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    247 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    255 root       0 -20       0      0      0 I   0.0   0.0   0:00.67 kworker+
    256 root       0 -20       0      0      0 I   0.0   0.0   0:00.59 kworker+
    261 root       0 -20       0      0      0 I   0.0   0.0   0:00.60 kworker+
    279 root       0 -20       0      0      0 I   0.0   0.0   0:02.17 kworker+
    281 root      20   0       0      0      0 S   0.0   0.0   0:05.42 jbd2/sd+
    282 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    321 root      19  -1   95332  12276  10596 S   0.0   0.2   0:02.33 systemd+
    365 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    366 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    367 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
    371 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    376 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    380 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop5
    382 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop7
    383 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop8
    384 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
    385 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop10
    389 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop11
    394 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop12
    395 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop13
    399 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop14
    400 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop15
    406 root      20   0   24928   3300   2612 S   0.0   0.0   0:06.62 systemd+
    408 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop17
    409 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop18
    410 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop19
    411 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop20
    412 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop21
    413 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop22
    414 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop23
    415 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop24
    416 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop25
    417 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop26
    418 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop27
    419 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop28
    420 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop29
    562 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    635 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    641 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    780 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM glo+
    781 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Too+
    852 systemd+  20   0   24308   5408   4844 S   0.0   0.1   0:04.85 systemd+
    853 systemd+  20   0   90412   3440   3264 S   0.0   0.0   0:00.36 systemd+
    866 root      20   0  238720   7000   6188 S   0.0   0.1   0:00.75 account+
    868 root      20   0    2540    704    640 S   0.0   0.0   0:03.36 acpid
    871 avahi     20   0    8504   2636   2476 S   0.0   0.0   0:01.80 avahi-d+
    873 root      20   0    9412   2924   2676 S   0.0   0.0   0:00.08 cron
    875 message+  20   0   10568   6664   3284 S   0.0   0.1   0:16.12 dbus-da+
    876 root      20   0  336092  10520   8508 S   0.0   0.1   0:09.15 Network+
    882 root      20   0   81876   3316   3144 S   0.0   0.0   0:02.04 irqbala+
    883 root      20   0   39268   7400   6984 S   0.0   0.1   0:00.09 network+
    896 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    897 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    898 root      20   0       0      0      0 S   0.0   0.0   0:05.37 usb-sto+
    904 root      20   0  241052  10164   6496 S   0.0   0.1   0:10.03 polkitd
    922 root      20   0  235696   5964   5660 S   0.0   0.1   0:00.03 switche+
    923 root      20   0   17024   5380   4952 S   0.0   0.1   0:04.10 systemd+
    924 root      20   0  125860   6644   6344 S   0.0   0.1   0:04.31 thermald
    925 root      20   0  393412  10360   7428 S   0.0   0.1   0:05.53 udisksd
    926 root      20   0   13664   1568   1276 S   0.0   0.0   0:00.17 wpa_sup+
    953 avahi     20   0    8320     44      0 S   0.0   0.0   0:00.00 avahi-d+
    959 root      20   0    8372   3648   3244 S   0.0   0.0   0:00.05 bluetoo+
    973 root      20   0    2548    140     88 S   0.0   0.0   0:00.03 syslogd
   1020 root      20   0  117800   7720   7492 S   0.0   0.1   0:00.08 unatten+
   1021 root      20   0  240104   6720   5460 S   0.0   0.1   0:00.22 ModemMa+
   1042 root      20   0  239720   7336   6252 S   0.0   0.1   0:00.11 gdm3
   1050 root      20   0  166760   5980   5616 S   0.0   0.1   0:00.03 gdm-ses+
   1088 gdm       20   0   19312   6788   5444 S   0.0   0.1   0:00.70 systemd
   1089 gdm       20   0  169416    176      0 S   0.0   0.0   0:00.00 (sd-pam)
   1095 gdm       20   0  808096   6356   6220 S   0.0   0.1   0:00.47 pulseau+
   1097 gdm       39  19  585208  10040   8844 S   0.0   0.1   0:00.22 tracker+
   1098 gdm       20   0  163996   5512   5512 S   0.0   0.1   0:00.00 gdm-x-s+
   1100 root      20   0  222072  25492  21076 S   0.0   0.3   0:04.77 Xorg
   1103 gdm       20   0    7784   3688   2980 S   0.0   0.0   0:00.19 dbus-da+
   1104 rtkit     21   1  152916   2432   2284 S   0.0   0.0   0:00.49 rtkit-d+
   1111 gdm       20   0  239696   5472   5472 S   0.0   0.1   0:00.02 gvfsd
   1126 gdm       20   0  312800   4656   4656 S   0.0   0.1   0:00.00 gvfsd-f+
   1128 gdm       20   0  387764   7900   6288 S   0.0   0.1   0:02.25 gvfs-ud+
   1138 gdm       20   0  235868   5016   5016 S   0.0   0.1   0:00.01 gvfs-go+
   1142 gdm       20   0  541588   8964   8964 S   0.0   0.1   0:00.16 goa-dae+
   1147 root     -51   0       0      0      0 S   0.0   0.0   2:24.09 irq/37-+
   1161 whoopsie  20   0  253112   8380   7800 S   0.0   0.1   0:00.11 whoopsie
   1175 kernoops  20   0   11240     76      0 S   0.0   0.0   0:01.22 kernelo+
   1177 kernoops  20   0   11240    156      0 S   0.0   0.0   0:01.19 kernelo+
   1188 gdm       20   0  314616   5468   5424 S   0.0   0.1   0:00.45 goa-ide+
   1190 gdm       20   0  235688   4700   4700 S   0.0   0.1   0:00.02 gvfs-mt+
   1197 gdm       20   0  316720   5148   5148 S   0.0   0.1   0:01.40 gvfs-af+
   1203 gdm       20   0  238092   5052   5052 S   0.0   0.1   0:00.02 gvfs-gp+
   1208 root      20   0  252252   7060   6240 S   0.0   0.1   0:00.74 upowerd
   1309 gdm       20   0  262396   8760   8760 S   0.0   0.1   0:00.02 gnome-s+
   1311 gdm       20   0  305400   5416   5416 S   0.0   0.1   0:00.01 at-spi-+
   1316 gdm       20   0    7216   3000   3000 S   0.0   0.0   0:00.01 dbus-da+
   1324 gdm       20   0   90040   3732   3732 S   0.0   0.0   0:00.00 gnome-s+
   1333 gdm       20   0  240020   4160   4160 S   0.0   0.1   0:00.00 gnome-k+
   1339 gdm       20   0  483984   9508   8852 S   0.0   0.1   0:00.13 gnome-s+
   1346 gdm       20   0 3807788  73092  45436 S   0.0   0.9   0:20.58 gnome-s+
   1357 gdm       20   0  310800   5744   5744 S   0.0   0.1   0:00.38 ibus-da+
   1360 gdm       20   0  162564   5552   5552 S   0.0   0.1   0:00.00 ibus-me+
   1363 gdm       20   0  197784  12416  12360 S   0.0   0.2   0:00.21 ibus-x11
   1368 gdm       20   0  236364   6004   5764 S   0.0   0.1   0:00.01 ibus-po+
